Time,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3
"Jan 1, 1981",282.311,282.992,285.301
"Feb 1, 1981",283.183,283.444,284.405
"Mar 1, 1981",286.711,286.498,286.069
"Apr 1, 1981",289.091,288.758,287.867
"May 1, 1981",292.801,292.185,290.689
"Jun 1, 1981",299.39,298,294.656
"Jul 1, 1981",300.095,299.549,297.661
"Aug 1, 1981",299.905,299.437,298.053
"Sep 1, 1981",297.109,297.102,297.072
"Oct 1, 1981",295.541,295.839,296.317
"Nov 1, 1981",287.497,288.552,291.78
"Dec 1, 1981",286.126,286.657,288.555
"Jan 1, 1982",284.493,285.054,286.859
"Feb 1, 1982",282.862,283.25,284.707
"Mar 1, 1982",284.595,284.663,285.17
"Apr 1, 1982",289.41,289.117,288.148
"May 1, 1982",291.755,291.22,289.816
"Jun 1, 1982",297.32,296.24,293.435
"Jul 1, 1982",299.662,298.954,296.971
"Aug 1, 1982",300.131,299.612,298.154
"Sep 1, 1982",297.527,297.553,297.342
"Oct 1, 1982",294.505,294.954,295.903
"Nov 1, 1982",287.958,288.826,291.503
"Dec 1, 1982",284.583,285.395,287.946
"Jan 1, 1983",282.876,283.32,285.184
"Feb 1, 1983",282.718,283.186,284.657
"Mar 1, 1983",284.9,284.753,284.579
"Apr 1, 1983",289.745,289.222,287.917
"May 1, 1983",294.517,293.74,291.6
"Jun 1, 1983",296.813,296.046,294.019
"Jul 1, 1983",300.164,299.311,296.86
"Aug 1, 1983",299.077,298.794,297.852
"Sep 1, 1983",296.32,296.472,296.604
"Oct 1, 1983",291.909,292.519,294.083
"Nov 1, 1983",288.032,288.601,290.585
"Dec 1, 1983",284.893,285.501,287.535
"Jan 1, 1984",284.06,284.505,285.983
"Feb 1, 1984",284.282,284.47,285.307
"Mar 1, 1984",285.886,285.865,285.834
"Apr 1, 1984",288.177,288.015,287.578
"May 1, 1984",294.915,293.874,291.271
"Jun 1, 1984",297.674,296.914,294.871
"Jul 1, 1984",299.208,298.554,296.642
"Aug 1, 1984",298.683,298.302,297.194
"Sep 1, 1984",298.269,298.088,297.412
"Oct 1, 1984",294.18,294.661,295.854
"Nov 1, 1984",288.238,288.912,291.122
"Dec 1, 1984",284.755,285.456,287.751
"Jan 1, 1985",284.783,285.164,286.438
"Feb 1, 1985",283.474,283.918,285.358
"Mar 1, 1985",285.723,285.596,285.414
"Apr 1, 1985",290.051,289.576,288.363
"May 1, 1985",295.355,294.47,292.156
"Jun 1, 1985",299.422,298.402,295.778
"Jul 1, 1985",299.576,298.88,297.124
"Aug 1, 1985",300.399,299.993,298.58
"Sep 1, 1985",296.977,297.181,297.449
"Oct 1, 1985",291.041,291.829,293.998
"Nov 1, 1985",289.271,289.682,291.079
"Dec 1, 1985",285.878,286.477,288.619
"Jan 1, 1986",284.513,284.996,286.612
"Feb 1, 1986",285.236,285.433,286.07
"Mar 1, 1986",286.096,286.101,286.4
"Apr 1, 1986",290.232,289.839,288.764
"May 1, 1986",292.968,292.353,290.808
"Jun 1, 1986",299.591,298.531,295.614
"Jul 1, 1986",301.137,300.262,297.823
"Aug 1, 1986",300.899,300.357,298.843
"Sep 1, 1986",297.597,297.798,298.014
"Oct 1, 1986",292.247,292.719,294.209
"Nov 1, 1986",287.229,288.041,290.609
"Dec 1, 1986",284.296,284.94,287.182
"Jan 1, 1987",284.356,284.693,285.892
"Feb 1, 1987",284.538,284.847,285.709
"Mar 1, 1987",282.989,283.103,283.843
"Apr 1, 1987",287.689,287.55,286.96
"May 1, 1987",291.987,291.215,289.344
"Jun 1, 1987",298.112,296.941,294.078
"Jul 1, 1987",300.562,299.583,296.891
"Aug 1, 1987",300.48,300.085,298.766
"Sep 1, 1987",298.059,297.86,297.403
"Oct 1, 1987",293.022,293.837,295.525
"Nov 1, 1987",288.282,288.914,291.082
"Dec 1, 1987",285.62,286.312,288.627
"Jan 1, 1988",284.57,284.905,286.22
"Feb 1, 1988",283.994,284.379,285.606
"Mar 1, 1988",285.768,285.732,285.792
"Apr 1, 1988",289.372,289.022,288.157
"May 1, 1988",294.835,293.989,291.73
"Jun 1, 1988",300.524,299.222,295.999
"Jul 1, 1988",302.112,301.351,299.112
"Aug 1, 1988",300.651,300.233,299.013
"Sep 1, 1988",298.82,298.907,298.784
"Oct 1, 1988",292.192,292.992,295.24
"Nov 1, 1988",286.696,287.435,289.907
"Dec 1, 1988",284.57,285.274,287.547
"Jan 1, 1989",282.236,282.776,284.611
"Feb 1, 1989",283.345,283.467,284.135
"Mar 1, 1989",286.641,286.538,286.26
"Apr 1, 1989",291.462,290.837,289.187
"May 1, 1989",293.242,292.763,291.443
"Jun 1, 1989",298.184,297.12,294.443
"Jul 1, 1989",300.054,299.379,297.4
"Aug 1, 1989",300.581,300.001,298.303
"Sep 1, 1989",298.555,298.474,298.197
"Oct 1, 1989",291.605,292.331,294.334
"Nov 1, 1989",288.216,288.842,290.777
"Dec 1, 1989",285.472,286.033,288.001
"Jan 1, 1990",282.561,283.162,285.208
"Feb 1, 1990",284.267,284.441,285.149
"Mar 1, 1990",286.536,286.427,286.185
"Apr 1, 1990",290.709,290.186,288.83
"May 1, 1990",294.923,293.929,291.586
"Jun 1, 1990",299.115,298.213,295.712
"Jul 1, 1990",300.887,300.087,297.853
"Aug 1, 1990",299.594,299.288,298.27
"Sep 1, 1990",297.828,297.775,297.458
"Oct 1, 1990",293.706,294.17,295.523
"Nov 1, 1990",290.319,290.92,292.724
"Dec 1, 1990",285.829,286.652,289.289
"Jan 1, 1991",283.481,284.121,286.342
"Feb 1, 1991",283.646,283.865,284.898
"Mar 1, 1991",286.831,286.694,286.479
"Apr 1, 1991",289.232,289.008,288.382
"May 1, 1991",292.991,292.525,291.186
"Jun 1, 1991",299.046,297.749,294.659
"Jul 1, 1991",300.442,299.717,297.556
"Aug 1, 1991",300.178,299.85,298.649
"Sep 1, 1991",297.046,296.943,296.841
"Oct 1, 1991",294.262,294.785,295.832
"Nov 1, 1991",288.19,288.921,291.329
"Dec 1, 1991",282.77,283.646,286.598
"Jan 1, 1992",282.405,282.911,284.567
"Feb 1, 1992",281.629,282.031,283.452
"Mar 1, 1992",284.157,284.07,284.007
"Apr 1, 1992",288.311,287.9,286.862
"May 1, 1992",291.762,291.139,289.466
"Jun 1, 1992",298.695,297.571,294.462
"Jul 1, 1992",298.719,298.073,296.204
"Aug 1, 1992",300.149,299.401,297.519
"Sep 1, 1992",296.332,296.631,297.052
"Oct 1, 1992",295.944,295.903,295.79
"Nov 1, 1992",289.401,290.37,292.887
"Dec 1, 1992",283.952,284.788,287.691
"Jan 1, 1993",282.656,283.183,284.973
"Feb 1, 1993",282.221,282.616,284.036
"Mar 1, 1993",284.661,284.59,284.637
"Apr 1, 1993",289.242,288.858,287.784
"May 1, 1993",293,292.194,290.171
"Jun 1, 1993",298.812,297.774,295.005
"Jul 1, 1993",300.204,299.447,297.255
"Aug 1, 1993",299.986,299.386,297.758
"Sep 1, 1993",298.41,298.427,298.177
"Oct 1, 1993",295.317,295.695,296.348
"Nov 1, 1993",288.986,289.85,292.572
"Dec 1, 1993",285.635,286.251,288.429
"Jan 1, 1994",284.784,285.319,287.001
"Feb 1, 1994",284.351,284.596,285.613
"Mar 1, 1994",286.019,286.076,286.293
"Apr 1, 1994",290.528,290.044,288.833
"May 1, 1994",295.528,294.509,292.098
"Jun 1, 1994",298.453,297.68,295.599
"Jul 1, 1994",300.658,299.916,297.817
"Aug 1, 1994",301.144,300.584,298.894
"Sep 1, 1994",299.507,299.376,298.91
"Oct 1, 1994",294.883,295.323,296.573
"Nov 1, 1994",288.311,289.183,291.836
"Dec 1, 1994",284.167,284.848,287.136
"Jan 1, 1995",283.997,284.454,285.983
"Feb 1, 1995",284.924,285.037,285.61
"Mar 1, 1995",286.291,286.346,286.543
"Apr 1, 1995",288.459,288.148,287.403
"May 1, 1995",293.963,293.12,291.064
"Jun 1, 1995",301.425,299.967,296.318
"Jul 1, 1995",300.433,299.9,298.167
"Aug 1, 1995",300.761,300.23,298.656
"Sep 1, 1995",298.99,298.981,298.689
"Oct 1, 1995",291.388,292.233,294.654
"Nov 1, 1995",286.619,287.388,290.1
"Dec 1, 1995",285.254,285.71,287.376
"Jan 1, 1996",283.785,284.274,285.965
"Feb 1, 1996",284.05,284.387,285.389
"Mar 1, 1996",284.765,284.781,284.998
"Apr 1, 1996",287.829,287.55,286.929
"May 1, 1996",295.12,294.174,291.59
"Jun 1, 1996",297.346,296.458,294.186
"Jul 1, 1996",300.144,299.32,297.212
"Aug 1, 1996",300.443,299.913,298.296
"Sep 1, 1996",298.577,298.592,298.229
"Oct 1, 1996",291.634,292.294,294.433
"Nov 1, 1996",288.045,288.602,290.472
"Dec 1, 1996",286.087,286.633,288.396
"Jan 1, 1997",284.311,284.847,286.533
"Feb 1, 1997",283.525,283.787,284.853
"Mar 1, 1997",284.676,284.813,285.269
"Apr 1, 1997",286.444,286.286,285.916
"May 1, 1997",293.129,292.295,290.085
"Jun 1, 1997",298.342,297.229,294.327
"Jul 1, 1997",301.329,300.411,297.855
"Aug 1, 1997",299.497,299.148,298.115
"Sep 1, 1997",295.487,295.869,296.544
"Oct 1, 1997",292.302,292.781,294.148
"Nov 1, 1997",288.599,289.083,290.801
"Dec 1, 1997",285.306,285.989,288.153
"Jan 1, 1998",283.74,284.225,285.891
"Feb 1, 1998",284.718,284.894,285.581
"Mar 1, 1998",284.418,284.62,285.324
"Apr 1, 1998",289.953,289.423,288.072
"May 1, 1998",293.519,292.797,290.872
"Jun 1, 1998",298.518,297.461,294.77
"Jul 1, 1998",301.175,300.244,297.766
"Aug 1, 1998",301.168,300.604,298.948
"Sep 1, 1998",297.969,298.095,298.217
"Oct 1, 1998",294.35,294.855,296.037
"Nov 1, 1998",289.668,290.412,292.641
"Dec 1, 1998",284.945,285.705,288.358
"Jan 1, 1999",284,284.509,286.179
"Feb 1, 1999",284.124,284.399,285.383
"Mar 1, 1999",286.141,286.15,286.272
"Apr 1, 1999",289.91,289.372,288.164
"May 1, 1999",295.843,294.999,292.725
"Jun 1, 1999",299.948,298.847,296.098
"Jul 1, 1999",301.508,300.637,298.281
"Aug 1, 1999",301.947,301.468,299.916
"Sep 1, 1999",298.208,298.271,298.409
"Oct 1, 1999",295.26,295.727,296.69
"Nov 1, 1999",289.842,290.731,293.263
"Dec 1, 1999",286.703,287.351,289.678
"Jan 1, 2000",282.722,283.528,286.282
"Feb 1, 2000",283.623,284.004,285.311
"Mar 1, 2000",285.17,285.094,285.288
"Apr 1, 2000",290.763,290.339,289.074
"May 1, 2000",294.082,293.305,291.36
"Jun 1, 2000",298.423,297.565,295.179
"Jul 1, 2000",301.914,300.842,298.079
"Aug 1, 2000",300.107,299.826,298.721
"Sep 1, 2000",298.465,298.534,298.422
"Oct 1, 2000",292.942,293.576,295.35
"Nov 1, 2000",289.921,290.558,292.419
"Dec 1, 2000",285.578,286.244,288.655
"Jan 1, 2001",285.044,285.464,286.959
"Feb 1, 2001",284.603,284.9,286.003
"Mar 1, 2001",288.958,288.615,287.825
"Apr 1, 2001",290.278,290.066,289.517
"May 1, 2001",294.436,293.729,291.958
"Jun 1, 2001",299.091,298.232,295.851
"Jul 1, 2001",302.01,301.028,298.368
"Aug 1, 2001",301.396,300.956,299.595
"Sep 1, 2001",299.7,299.702,299.278
"Oct 1, 2001",293.95,294.674,296.486
"Nov 1, 2001",288.794,289.551,292.096
"Dec 1, 2001",283.998,284.767,287.383
"Jan 1, 2002",282.815,283.337,285.088
"Feb 1, 2002",285.24,285.395,285.981
"Mar 1, 2002",287.157,287.173,287.207
"Apr 1, 2002",289.297,288.938,288.14
"May 1, 2002",294.103,293.289,291.26
"Jun 1, 2002",299.152,298.061,295.343
"Jul 1, 2002",302.747,301.7,298.755
"Aug 1, 2002",301.644,301.302,300.05
"Sep 1, 2002",297.21,297.336,297.6
"Oct 1, 2002",293.087,293.602,295.076
"Nov 1, 2002",288.977,289.574,291.583
"Dec 1, 2002",285.252,285.917,288.166
"Jan 1, 2003",285.366,285.725,286.935
"Feb 1, 2003",282.52,283.115,284.937
"Mar 1, 2003",284.071,284.128,284.547
"Apr 1, 2003",287.433,287.147,286.43
"May 1, 2003",293.875,293.083,290.873
"Jun 1, 2003",297.717,296.645,293.97
"Jul 1, 2003",301.115,300.201,297.751
"Aug 1, 2003",300.872,300.276,298.606
"Sep 1, 2003",297.579,297.788,298.002
"Oct 1, 2003",295.756,295.956,296.34
"Nov 1, 2003",289.825,290.579,292.928
"Dec 1, 2003",285.512,286.262,288.761
"Jan 1, 2004",283.233,283.832,285.803
"Feb 1, 2004",283.858,284.051,284.902
"Mar 1, 2004",286.189,286.154,286.096
"Apr 1, 2004",289.537,289.205,288.393
"May 1, 2004",292.771,292.254,290.779
"Jun 1, 2004",298.791,297.544,294.487
"Jul 1, 2004",300.682,299.812,297.431
"Aug 1, 2004",301.007,300.497,298.948
"Sep 1, 2004",297.388,297.415,297.396
"Oct 1, 2004",294.781,295.154,296.032
"Nov 1, 2004",289.663,290.495,292.994
"Dec 1, 2004",285.372,286.055,288.398
"Jan 1, 2005",284.002,284.506,286.223
"Feb 1, 2005",283.225,283.564,284.865
"Mar 1, 2005",286.543,286.422,286.227
"Apr 1, 2005",289.184,288.853,288.045
"May 1, 2005",295.047,294.189,291.998
"Jun 1, 2005",297.316,296.536,294.451
"Jul 1, 2005",301.661,300.66,297.925
"Aug 1, 2005",301.378,300.858,299.241
"Sep 1, 2005",297.877,297.98,298.098
"Oct 1, 2005",292.182,292.836,294.69
"Nov 1, 2005",287.911,288.556,290.776
"Dec 1, 2005",285.754,286.387,288.577
"Jan 1, 2006",282.681,283.366,285.62
"Feb 1, 2006",283.888,283.982,284.601
"Mar 1, 2006",286.095,286.061,286.056
"Apr 1, 2006",289.922,289.535,288.473
"May 1, 2006",293.954,293.046,290.926
"Jun 1, 2006",298.104,297.314,295.016
"Jul 1, 2006",299.165,298.517,296.728
"Aug 1, 2006",302.376,301.547,299.172
"Sep 1, 2006",297.427,297.649,297.979
"Oct 1, 2006",292.756,293.293,294.809
"Nov 1, 2006",286.918,287.631,289.968
"Dec 1, 2006",284.649,285.365,287.572
"Jan 1, 2007",284.052,284.413,285.631
"Feb 1, 2007",284.236,284.479,285.392
"Mar 1, 2007",286.197,286.123,286.091
"Apr 1, 2007",288.701,288.414,287.697
"May 1, 2007",294.162,293.421,291.357
"Jun 1, 2007",299.282,298.037,294.864
"Jul 1, 2007",301.533,300.733,298.493
"Aug 1, 2007",301.574,301.05,299.504
"Sep 1, 2007",297.807,298.02,298.365
"Oct 1, 2007",293.277,293.769,295.24
"Nov 1, 2007",288.961,289.711,291.988
"Dec 1, 2007",284.566,285.296,287.753
"Jan 1, 2008",283.331,283.868,285.626
"Feb 1, 2008",283.344,283.599,284.635
"Mar 1, 2008",287.898,287.669,287.02
"Apr 1, 2008",290.7,290.313,289.261
"May 1, 2008",293.77,293.025,291.233
"Jun 1, 2008",299.371,298.364,295.622
"Jul 1, 2008",301.03,300.282,298.153
"Aug 1, 2008",300.901,300.359,298.848
"Sep 1, 2008",297.65,297.903,298.271
"Oct 1, 2008",292.917,293.348,294.832
"Nov 1, 2008",289.885,290.508,292.266
"Dec 1, 2008",286.36,287.105,289.483
"Jan 1, 2009",284.931,285.305,286.744
"Feb 1, 2009",284.199,284.67,286.209
"Mar 1, 2009",285.652,285.57,285.765
"Apr 1, 2009",289.638,289.354,288.447
"May 1, 2009",293.137,292.487,290.801
"Jun 1, 2009",299.559,298.423,295.503
"Jul 1, 2009",301.647,300.84,298.446
"Aug 1, 2009",299.77,299.418,298.459
"Sep 1, 2009",296.687,296.917,297.261
"Oct 1, 2009",293.569,293.939,294.96
"Nov 1, 2009",288.639,289.248,291.276
"Dec 1, 2009",286.696,287.134,288.697
"Jan 1, 2010",285.193,285.752,287.431
"Feb 1, 2010",285.799,285.863,286.215
"Mar 1, 2010",287.484,287.482,287.618
"Apr 1, 2010",290.751,290.39,289.369
"May 1, 2010",295.608,294.696,292.586
"Jun 1, 2010",299.758,298.824,296.159
"Jul 1, 2010",301.695,300.861,298.536
"Aug 1, 2010",302.816,302.146,300.299
"Sep 1, 2010",299.018,299.117,299.099
"Oct 1, 2010",293.928,294.585,296.362
"Nov 1, 2010",290.308,290.751,292.457
"Dec 1, 2010",287.128,287.824,289.936
"Jan 1, 2011",284.747,285.309,287.197
"Feb 1, 2011",284.984,285.271,286.313
"Mar 1, 2011",285.967,285.979,286.284
"Apr 1, 2011",288.408,288.29,287.958
"May 1, 2011",292.275,291.775,290.336
"Jun 1, 2011",297.527,296.745,294.535
"Jul 1, 2011",301.484,300.373,297.558
"Aug 1, 2011",300.229,299.914,298.834
"Sep 1, 2011",298.363,298.373,298.178
"Oct 1, 2011",291.366,292.103,294.252
"Nov 1, 2011",286.595,287.36,289.871
"Dec 1, 2011",284.746,285.34,287.326
"Jan 1, 2012",282.386,282.987,284.921
"Feb 1, 2012",282.908,283.16,284.106
"Mar 1, 2012",285.403,285.271,285.124
"Apr 1, 2012",290.468,289.873,288.319
"May 1, 2012",294.164,293.51,291.63
"Jun 1, 2012",299.028,297.914,295.043
"Jul 1, 2012",302.121,301.061,298.323
"Aug 1, 2012",301.731,301.304,299.795
"Sep 1, 2012",298.415,298.405,298.389
"Oct 1, 2012",295.324,295.724,296.768
"Nov 1, 2012",290.69,291.311,293.37
"Dec 1, 2012",285.915,286.702,289.219
"Jan 1, 2013",284.294,284.808,286.576
"Feb 1, 2013",285.271,285.496,286.293
"Mar 1, 2013",287.742,287.565,287.357
"Apr 1, 2013",290.535,290.22,289.41
"May 1, 2013",296.311,295.416,292.972
"Jun 1, 2013",298.888,298.163,296.033
"Jul 1, 2013",300.201,299.515,297.746
"Aug 1, 2013",300.904,300.411,298.895
"Sep 1, 2013",299.068,299.045,298.817
"Oct 1, 2013",293.196,293.927,295.781
"Nov 1, 2013",289.835,290.496,292.588
"Dec 1, 2013",284.864,285.587,288.181
"Jan 1, 2014",285.301,285.678,286.997
"Feb 1, 2014",285.767,285.994,286.796
"Mar 1, 2014",286.494,286.539,286.77
"Apr 1, 2014",289.861,289.532,288.675
"May 1, 2014",293.837,293.152,291.423
"Jun 1, 2014",298.449,297.567,295.109
"Jul 1, 2014",301.496,300.522,298.135
"Aug 1, 2014",302.146,301.655,299.921
"Sep 1, 2014",299.109,299.196,299.177
"Oct 1, 2014",293.345,293.955,295.735
"Nov 1, 2014",289.456,290.037,292.106
"Dec 1, 2014",286.602,287.256,289.372
"Jan 1, 2015",283.805,284.313,286.157
"Feb 1, 2015",283.89,284.286,285.545
"Mar 1, 2015",286.05,286.049,286.118
"Apr 1, 2015",288.746,288.425,287.722
"May 1, 2015",294.37,293.645,291.598
"Jun 1, 2015",296.721,296.064,294.186
"Jul 1, 2015",300.26,299.217,296.686
"Aug 1, 2015",300.596,300.309,299.077
"Sep 1, 2015",299.045,298.985,298.567
"Oct 1, 2015",293.988,294.443,295.751
"Nov 1, 2015",289.486,290.077,291.928
"Dec 1, 2015",285.49,286.331,288.876
"Jan 1, 2016",284.241,284.726,286.629
"Feb 1, 2016",286.81,286.752,286.811
"Mar 1, 2016",287.487,287.547,287.821
"Apr 1, 2016",292.906,292.196,290.398
"May 1, 2016",295.011,294.336,292.63
"Jun 1, 2016",301.309,300.177,296.951
"Jul 1, 2016",301.352,300.745,298.927
"Aug 1, 2016",301.422,300.982,299.625
"Sep 1, 2016",298.553,298.714,298.89
"Oct 1, 2016",294.922,295.368,296.493
"Nov 1, 2016",289.542,290.287,292.74
"Dec 1, 2016",283.693,284.697,288.053
"Jan 1, 2017",282.542,283.072,285.026
"Feb 1, 2017",284.329,284.456,285.158
"Mar 1, 2017",286.35,286.348,286.388
"Apr 1, 2017",289.377,288.982,288.092
"May 1, 2017",294.497,293.859,292.004
"Jun 1, 2017",298.509,297.453,294.788
"Jul 1, 2017",301.37,300.65,298.41
"Aug 1, 2017",300.424,300.109,299.026
"Sep 1, 2017",298.819,298.778,298.468
"Oct 1, 2017",292.46,293.053,294.855
"Nov 1, 2017",288.516,289.207,291.465
"Dec 1, 2017",285.934,286.553,288.634
"Jan 1, 2018",284.182,284.695,286.496
"Feb 1, 2018",285.659,285.757,286.308
"Mar 1, 2018",288.726,288.555,288.147
"Apr 1, 2018",292.465,291.775,290.18
"May 1, 2018",296.615,295.96,293.927
"Jun 1, 2018",299.587,298.792,296.56
"Jul 1, 2018",301.875,301.092,298.822
"Aug 1, 2018",300.427,300.181,299.311
"Sep 1, 2018",297.754,297.954,298.322
"Oct 1, 2018",293.136,293.633,295.173
"Nov 1, 2018",289.837,290.431,292.268
"Dec 1, 2018",285.325,286.056,288.526
"Jan 1, 2019",283.418,283.91,285.634
"Feb 1, 2019",284.251,284.573,285.623
"Mar 1, 2019",286.397,286.359,286.361
"Apr 1, 2019",289.33,288.915,287.93
"May 1, 2019",294.35,293.526,291.494
"Jun 1, 2019",299.563,298.536,295.754
"Jul 1, 2019",301.365,300.501,298.296
"Aug 1, 2019",301.168,300.764,299.346
"Sep 1, 2019",297.938,298.001,298.094
"Oct 1, 2019",295.46,295.844,296.789
"Nov 1, 2019",291.561,292.112,293.866
"Dec 1, 2019",286.244,287.08,289.759
"Jan 1, 2020",283.719,284.274,286.251
"Feb 1, 2020",284.949,285.218,286.149
"Mar 1, 2020",286.723,286.744,286.894
"Apr 1, 2020",289.061,288.776,288.15
"May 1, 2020",295.281,294.488,292.279
"Jun 1, 2020",298.397,297.428,295.012
"Jul 1, 2020",300.515,299.755,297.662
"Aug 1, 2020",301.596,300.999,299.307
"Sep 1, 2020",299.416,299.387,299.009
"Oct 1, 2020",295.846,296.24,297.271
"Nov 1, 2020",289.057,289.809,292.202
"Dec 1, 2020",286.735,287.32,289.17
